Total working Years,Total Emp
10 years,202
6 years,125
8 years,103
9 years,96
5 years,88
1 years,81
7 years,81
4 years,63
12 years,48
3 years,42
15 years,40
16 years,37
11 years,36
13 years,36
21 years,34
17 years,33
14 years,31
2 years,31
20 years,30
18 years,27
19 years,22
23 years,22
22 years,21
24 years,18
25 years,14
26 years,14
28 years,14
0 years,11
29 years,10
31 years,9
32 years,9
27 years,7
30 years,7
33 years,7
36 years,6
34 years,5
37 years,4
35 years,3
40 years,2
38 years,1
